ID,fixed acidity,,volatile acidity,,citric acid,,residual sugar,,chlorides,,free sulfur dioxide,,total sulfur dioxide,,density,,pH,,sulphates,,alcohol,type,location,quality,Predicted Type,,Avg. Alcohol,Avg. Sulphates,Avg. Fixed Acids,Avg. Vol Acids,Avg. Citric Acid,Avg. Res. Sugar,Avg. Chlorides,Avg. Free Sulph,Avg. Tot Sulph,Avg. Density,Avg. pH,,,,,,,,,,
7,7.2,white,0.57,red,0.06,red,1.6,red,0.076,red,9,red,27,red,0.9972,red,3.36,red,0.7,red,9.6,red,Texas,6,red,red,10.44745199,0.660132939,8.329394387,0.522444609,0.275864106,2.560192024,0.087049483,15.92688331,46.95125554,0.996701263,3.308677991,white,red,red,red,red,red,red,red,red,red
11,11.6,red,0.475,red,0.4,white,1.4,red,0.091,red,6,red,28,red,0.99704,red,3.07,white,0.65,red,10.03333333,red,California,6,red,white,10.51259681,0.489755566,6.855239593,0.277754114,0.332599226,6.356921588,0.045962246,35.38915779,138.5036302,0.994013771,3.187299129,red,red,white,red,red,red,red,red,white,red
15,7.6,red,0.665,red,0.1,red,1.5,red,0.066,white,27,white,55,red,0.99655,red,3.39,red,0.51,white,9.3,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,white,white,red,red,red,white
16,10.4,red,0.38,white,0.46,white,2.1,red,0.104,red,6,red,10,red,0.99664,red,3.12,white,0.65,red,11.8,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
19,12.7,red,0.59,red,0.45,white,2.3,red,0.082,red,11,red,22,red,1,red,3,white,0.7,red,9.3,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
23,8.1,red,0.575,red,0.22,red,2.1,red,0.077,red,12,red,65,red,0.9967,red,3.29,red,0.51,white,9.2,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
30,6.5,white,0.63,red,0.33,white,1.8,red,0.059,white,16,red,28,red,0.99531,white,3.36,red,0.64,red,10.1,red,California,6,red,,,,,,,,,,,,,white,red,white,red,white,red,red,white,red,red
31,9.2,red,0.31,white,0.36,white,2.2,red,0.079,red,11,red,31,red,0.99615,red,3.33,red,0.86,red,12,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
34,6.8,white,0.47,red,0.08,red,2.2,red,0.064,white,18,red,38,red,0.99553,red,3.3,red,0.65,red,9.6,red,California,6,red,,,,,,,,,,,,,white,red,red,red,white,red,red,red,red,red
37,8.5,red,0.47,red,0.27,red,1.9,red,0.058,white,18,red,38,red,0.99518,white,3.16,white,0.85,red,11.1,red,California,6,red,,,,,,,,,,,,,red,red,red,red,white,red,red,white,white,red
